,,         BẢNG ĐO THỜI GIAN CỦA 4 THUẬT TOÁN SẮP XẾP,,,,
,,,,,,
1) Dữ liệu có thứ tự(sorted),,,,,,
,,,,,,
,case,size,Selection,Heap,Quick,Merge 
,sorted,100,0,0,0,0
,sorted,1000,0.01,0,0,0
,sorted,5000,0.073,0.002,0.001,0.001
,sorted,10000,0.12,0.001,0,0
,sorted,50000,2.468,0.004,0.002,0.004
,sorted,100000,9.967,0.011,0.005,0.011
,,,,,,
2) Dữ liệu có thứ tự ngược(reversed),,,,,,
,,,,,,
,case,size,Selection,Heap,Quick,Merge 
,reversed,100,0,0,0,0
,reversed,1000,0.001,0,0,0
,reversed,5000,0.031,0,0.001,0
,reversed,10000,0.159,0,0,0.001
,reversed,50000,5.276,0.004,0.001,0.003
,reversed,100000,17.958,0.007,0.003,0.007
,,,,,,
3) Dữ liệu  ngẫu nhiên(random),,,,,,
,,,,,,
,case,size,Selection,Heap,Quick,Merge 
,random,100,0,0,0,0
,random,1000,0.001,0,0,0
,random,5000,0.023,0,0,0.001
,random,10000,0.091,0.001,0.001,0.001
,random,50000,2.253,0.004,0.002,0.003
,random,100000,8.861,0.008,0.003,0.008
